method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation
STVMD,IMF8,stable_10deg,background_dynamic_mode,95.5,98.995,3.4950000000000045,97.0,4,4.985621711050707,4.500452432019083,envelope_mean_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault
VMD,IMF9,stable_10deg,background_dynamic_mode,95.5,98.995,3.4950000000000045,97.0,4,4.762677070349974,4.273481035002882,rms_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault
AVMD,IMF6,stable_10deg,background_dynamic_mode,96.0,98.995,2.9950000000000045,97.0,3,4.504421244355912,4.208773728945534,rms_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF9,stable_10deg,background_dynamic_mode,96.0,98.995,2.9950000000000045,97.0,3,4.894825336323176,4.5572164477874075,rms_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF10,stable_10deg,background_dynamic_mode,97.0,99.995,2.9950000000000045,98.0,3,3.7096991771212737,3.709699177121274,local_peak_frequency_hz,97.83988178025034,92.0,92.0,92.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,99.0,101.495,2.4950000000000045,100.0,2,6.7449075947659525,6.4076622150276545,local_peak_frequency_hz,39.90785813630041,34.75,34.5,35.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,102.5,105.495,2.9950000000000045,103.5,3,6.070416835289357,5.620756328971626,local_peak_frequency_hz,39.90785813630041,35.5,35.0,35.5,anomaly_candidate_not_confirmed_fault
VMD,IMF3,stable_10deg,background_dynamic_mode,108.0,110.995,2.9950000000000045,110.0,3,4.010654793709703,3.85187431798373,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF5,stable_10deg,background_dynamic_mode,109.0,111.495,2.4950000000000045,110.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,39.90785813630041,36.5,36.5,36.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,109.0,111.995,2.9950000000000045,110.0,3,4.046944556859572,4.046944556859572,local_peak_frequency_hz,39.90785813630041,36.5,36.5,36.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,109.0,112.495,3.4950000000000045,110.5,4,9.442870632672333,6.913530284635101,local_peak_frequency_hz,72.63125869262865,67.0,65.0,68.5,anomaly_candidate_not_confirmed_fault
VMD,IMF2,stable_10deg,background_dynamic_mode,109.0,113.495,4.4950000000000045,111.0,6,4.103380920752292,3.850450120744558,envelope_mean_nm,16.18567454798331,16.75,16.0,17.5,anomaly_candidate_not_confirmed_fault
VMD,IMF3,stable_10deg,background_dynamic_mode,111.0,113.995,2.9950000000000045,112.5,3,4.122332191642026,3.9896420649315623,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault
IOVMD,IMF4,stable_10deg,background_dynamic_mode,111.5,113.995,2.4950000000000045,112.5,2,3.6315816681277173,3.597193566384483,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault
IOVMD,IMF2,stable_10deg,background_dynamic_mode,113.0,115.495,2.4950000000000045,114.0,2,4.404068165650933,4.045284417305239,rms_nm,5.4242002781641165,4.0,4.0,4.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,113.0,117.995,4.9950000000000045,114.0,7,9.442870632672333,5.877705189724616,local_peak_frequency_hz,72.63125869262865,68.0,65.0,68.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,115.0,117.495,2.4950000000000045,116.0,2,4.721435316336167,4.721435316336167,local_peak_frequency_hz,39.90785813630041,36.0,36.0,36.0,anomaly_candidate_not_confirmed_fault
VMD,IMF2,stable_10deg,background_dynamic_mode,116.0,120.495,4.4950000000000045,118.0,6,4.108557946632005,3.9272554055100493,envelope_mean_nm,16.18567454798331,16.5,13.5,17.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,117.0,119.995,2.9950000000000045,118.5,3,5.395926075812762,4.721435316336167,local_peak_frequency_hz,39.90785813630041,36.0,35.5,36.5,anomaly_candidate_not_confirmed_fault
VMD,IMF3,stable_10deg,background_dynamic_mode,117.5,120.995,3.4950000000000045,119.0,4,4.701519488280139,4.271559441994544,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault
VMD,IMF7,stable_10deg,background_dynamic_mode,119.5,121.995,2.4950000000000045,120.5,2,6.306459273746924,5.5181518645285585,local_peak_frequency_hz,59.97479137691238,60.25,58.5,62.0,anomaly_candidate_not_confirmed_fault
VMD,IMF7,stable_43deg,background_dynamic_mode,139.0,141.495,2.4950000000000045,140.0,2,4.237805874894198,4.237805874894198,local_peak_frequency_hz,59.97479137691238,58.0,58.0,58.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_43deg,background_dynamic_mode,141.0,145.495,4.4950000000000045,142.5,6,7.4193983542425475,6.295247088448222,local_peak_frequency_hz,59.97479137691238,54.0,54.0,56.5,anomaly_candidate_not_confirmed_fault
AVMD,IMF7,stable_43deg,background_dynamic_mode,152.5,154.995,2.4950000000000045,153.5,2,7.4193983542425475,7.4193983542425475,local_peak_frequency_hz,90.29468011126563,97.5,97.5,97.5,anomaly_candidate_not_confirmed_fault
AVMD,IMF4,stable_43deg,background_dynamic_mode,156.0,158.495,2.4950000000000045,157.0,2,6.070416835289357,6.070416835289357,local_peak_frequency_hz,54.08118915159944,49.5,49.5,49.5,anomaly_candidate_not_confirmed_fault
IOVMD,IMF6,stable_43deg,angle_movement_response_candidate,167.0,169.495,2.4950000000000045,168.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,35.626738525730175,32.5,32.5,32.5,anomaly_candidate_not_confirmed_fault
VMD,IMF4,stable_43deg,angle_movement_response_candidate,167.0,169.495,2.4950000000000045,168.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,35.626738525730175,32.5,32.5,32.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF10,stable_43deg,background_dynamic_mode,174.5,176.995,2.4950000000000045,175.5,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,90.29468011126563,95.0,95.0,95.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_43deg,background_dynamic_mode,180.5,183.495,2.9950000000000045,181.5,3,7.4193983542425475,6.520077341607087,local_peak_frequency_hz,59.97479137691238,54.5,54.0,55.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF5,stable_10deg,background_dynamic_mode,196.5,229.995,33.495000000000005,209.0,64,6.7449075947659525,5.638321192499663,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,196.5,203.495,6.9950000000000045,197.5,11,6.070416835289357,6.009099493518757,local_peak_frequency_hz,39.90785813630041,35.0,35.0,35.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF4,stable_10deg,background_dynamic_mode,198.5,200.995,2.4950000000000045,199.5,2,8.0,8.0,local_peak_frequency_hz,20.07127955493741,18.0,18.0,18.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,199.5,202.495,2.9950000000000045,200.5,3,8.093889113719143,7.869058860560277,local_peak_frequency_hz,72.63125869262865,66.0,66.0,66.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_10deg,background_dynamic_mode,201.5,205.995,4.4950000000000045,202.5,6,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault
AVMD,IMF4,stable_10deg,background_dynamic_mode,202.5,204.995,2.4950000000000045,204.0,2,4.721435316336167,4.384189936597869,local_peak_frequency_hz,54.08118915159944,50.25,50.0,50.5,anomaly_candidate_not_confirmed_fault
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,202.5,207.995,5.4950000000000045,203.5,8,5.395926075812762,4.8057466612707405,local_peak_frequency_hz,39.90785813630041,36.0,35.5,36.5,anomaly_candidate_not_confirmed_fault
STVMD,IMF6,stable_10deg,background_dynamic_mode,205.0,209.995,4.9950000000000045,206.0,7,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.97479137691238,60.0,60.0,60.0,anomaly_candidate_not_confirmed_fault
IOVMD,IMF9,stable_10deg,background_dynamic_mode,205.5,207.995,2.4950000000000045,206.5,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,72.63125869262865,69.0,69.0,69.0,anomaly_candidate_not_confirmed_fault
STVMD,IMF7,stable_10deg,background_dynamic_mode,205.5,207.995,2.4950000000000045,206.5,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,59.94871349095966,69.0,69.0,69.0,anomaly_candidate_not_confirmed_fault
SVMD,IMF8,stable_10deg,background_dynamic_mode,205.5,208.495,2.9950000000000045,207.5,3,4.721435316336167,4.271774810018436,local_peak_frequency_hz,72.63125869262865,69.0,68.5,69.0,anomaly_candidate_not_confirmed_fault
