time_s,raw_ch1_nm,angle_component_nm,estimated_angle_deg,angle_velocity_deg_s,state_label
130.895,1549.934201,1549.8930873444754,12.292320381802895,2.753969100244902,stable_10deg
130.9,1549.820422,1549.8929855308156,12.306104306182043,2.759599481670705,stable_10deg
130.905,1549.997508,1549.8928835092577,12.319916376619602,2.7652275020617623,stable_10deg
130.91,1549.991097,1549.8927812798895,12.33375658120266,2.770853127556805,stable_10deg
130.915,1550.103298,1549.8926788428,12.34762490789517,2.7764763273735227,stable_10deg
130.92,1549.9927,1549.8925761980795,12.361521344476396,2.782097061494504,stable_10deg
130.925,1549.825229,1549.8924733458198,12.375445878510115,2.787715305293048,stable_10deg
130.93,1549.76434,1549.892370286113,12.389398497529326,2.793331034143165,stable_10deg
130.935,1549.803597,1549.8922670190527,12.403379188851547,2.798944217262367,stable_10deg
130.94,1549.83244,1549.8921635447334,12.41738793970195,2.8045548177111357,stable_10deg
130.945,1549.874104,1549.8920598632515,12.431424737028658,2.8101628016285574,stable_10deg
130.95,1549.77796,1549.8919559747037,12.445489567718235,2.8157681413102154,stable_10deg
130.955,1549.915771,1549.8918518791886,12.45958241844176,2.821370799816769,stable_10deg
130.96,1549.92138,1549.8917475768058,12.473703275716403,2.82697074944398,stable_10deg
130.965,1550.019146,1549.8916430676557,12.4878521259362,2.832567962487076,stable_10deg
130.97,1550.166619,1549.89153835184,12.502028955341274,2.838162405085143,stable_10deg
130.975,1549.917374,1549.8914334294616,12.516233749987052,2.8437540433774444,stable_10deg
130.98,1549.924585,1549.8913283006248,12.530466495775048,2.8493428496593864,stable_10deg
130.985,1549.811609,1549.8912229654345,12.544727178483646,2.854928799304801,stable_10deg
130.99,1549.827633,1549.8911174239968,12.559015783768096,2.860511858452419,stable_10deg
130.995,1549.924585,1549.891011676419,12.57333229706817,2.866091993241504,stable_10deg
131.0,1549.794784,1549.89090572281,12.587676703700511,2.871669169811142,stable_10deg
131.005,1549.82603,1549.8907995632794,12.602048988766281,2.8772433604567382,stable_10deg
131.01,1549.826832,1549.890693197938,12.616449137305079,2.882814540552303,stable_10deg
131.015,1549.982282,1549.8905866268974,12.630877134171804,2.8883826731583184,stable_10deg
131.02,1550.064026,1549.890479850271,12.645332964036662,2.89394773057019,stable_10deg
131.025,1550.022351,1549.8903728681728,12.659816611477506,2.89950967584911,stable_10deg
131.03,1549.931797,1549.8902656807186,12.674328060795153,2.9050684782124137,stable_10deg
131.035,1549.924585,1549.8901582880246,12.68886729625963,2.9106241130334,stable_10deg
131.04,1549.850067,1549.8900506902087,12.703434301925487,2.9161765464513323,stable_10deg
131.045,1549.855676,1549.8899428873895,12.718029061724144,2.9217257476835456,stable_10deg
131.05,1549.76434,1549.889834879687,12.732651559402322,2.9272716890254458,stable_10deg
131.055,1549.872502,1549.889726667222,12.747301778614398,2.9328143396943673,stable_10deg
131.06,1549.862887,1549.8896182501169,12.761979702799266,2.938353665829574,stable_10deg
131.065,1549.920579,1549.8895096284948,12.776685315272694,2.943889636648045,stable_10deg
131.07,1550.072842,1549.8894008024804,12.791418599165747,2.9494222182886887,stable_10deg
131.075,1549.92138,1549.8892917721994,12.80617953745558,2.9549513892037638,stable_10deg
131.08,1550.106504,1549.889182537778,12.820968113057784,2.96047712476728,stable_10deg
131.085,1549.9927,1549.8890730993437,12.835784308703253,2.965999388039897,stable_10deg
131.09,1549.997508,1549.8889634570255,12.850628106938183,2.971518142082097,stable_10deg
131.095,1549.918175,1549.8888536109537,12.865499490124074,2.977033356111214,stable_10deg
131.1,1549.801995,1549.8887435612594,12.880398440499295,2.9825450024230094,stable_10deg
131.105,1549.929393,1549.888633308075,12.895324940148305,2.988053053312889,stable_10deg
131.11,1549.869297,1549.8885228515337,12.910278971032424,2.9935574779981877,stable_10deg
131.115,1549.924585,1549.8884121917702,12.925260514928286,2.99905824569624,stable_10deg
131.12,1550.018344,1549.8883013289199,12.940269553489387,3.004555322545599,stable_10deg
131.125,1549.935804,1549.88819026312,12.955306068153742,3.010048677764132,stable_10deg
131.13,1549.894937,1549.888078994508,12.970370040267028,3.015538283647423,stable_10deg
131.135,1550.051203,1549.8879675232236,12.985461450990217,3.0210241032555984,stable_10deg
131.14,1549.98148,1549.8878558494068,13.000580281299584,3.026506105806348,stable_10deg
131.145,1550.058416,1549.8877439731993,13.01572651204828,3.031984266673682,stable_10deg
131.15,1549.901348,1549.8876318947434,13.03090012396632,3.037458564309148,stable_10deg
131.155,1549.92138,1549.887519614182,13.046101097691372,3.0429289740869336,stable_10deg
131.16,1549.902149,1549.8874071316595,13.06132941370719,3.0483954590678763,stable_10deg
131.165,1549.98709,1549.8872944473214,13.07658505228205,3.0538579761559603,stable_10deg
131.17,1550.06643,1549.8871815613152,13.09186799346875,3.05931650072484,stable_10deg
131.175,1549.83885,1549.8870684737883,13.107178217289299,3.0647710019920282,stable_10deg
131.18,1549.906155,1549.8869551848904,13.12251570348867,3.070221446096788,stable_10deg
131.185,1549.758732,1549.8868416947716,13.137880431750267,3.075667808412419,stable_10deg
131.19,1549.979076,1549.8867280035834,13.153272381572794,3.0811100612348596,stable_10deg
131.195,1550.009529,1549.8866141114777,13.168691532362615,3.0865481799377648,stable_10deg
131.2,1549.852471,1549.8865000186079,13.184137863372172,3.091982127581616,stable_10deg
131.205,1549.934201,1549.8863857251288,13.199611353638431,3.097411873384104,stable_10deg
131.21,1549.773954,1549.886271231196,13.215111982106013,3.10283739271906,stable_10deg
131.215,1549.953433,1549.886156536966,13.230639727565622,3.1082586517252153,stable_10deg
131.22,1549.919777,1549.8860416425969,13.246194568623265,3.113675625776402,stable_10deg
131.225,1549.77796,1549.8859265482472,13.261776483823386,3.1190882902468076,stable_10deg
131.23,1549.769147,1549.8858112540768,13.277385451525733,3.124496605118665,stable_10deg
131.235,1549.884521,1549.885695760247,13.293021449874573,3.129900530374208,stable_10deg
131.24,1549.755527,1549.8855800669207,13.308684456829475,3.135300041387623,moving_10_to_43
131.245,1549.910162,1549.8854641742612,13.324374450288449,3.140695122767312,moving_10_to_43
131.25,1549.731494,1549.8853480824323,13.340091408057148,3.1460857437304313,moving_10_to_43
131.255,1549.98148,1549.8852317915996,13.355835307725753,3.1514718673381736,moving_10_to_43
131.26,1549.882918,1549.8851153019298,13.37160612673053,3.1568534689641936,moving_10_to_43
131.265,1549.935804,1549.8849986135901,13.387403842415395,3.1622305178254706,moving_10_to_43
131.27,1550.061621,1549.8848817267497,13.403228431908785,3.1676029800610905,moving_10_to_43
131.275,1549.935804,1549.8847646415782,13.419079872216006,3.172970827966992,moving_10_to_43
131.28,1549.965453,1549.8846473582466,13.434958140188455,3.1783340307603325,moving_10_to_43
131.285,1549.790778,1549.8845298769272,13.45086321252361,3.1836925576579134,moving_10_to_43
131.29,1549.820422,1549.8844121977932,13.466795065765034,3.1890463778774247,moving_10_to_43
131.295,1549.72909,1549.8842943210188,13.482753676302384,3.1943954667928764,moving_10_to_43
131.3,1549.809205,1549.8841762467794,13.498739020432962,3.1997397997777455,moving_10_to_43
131.305,1549.857278,1549.884057975251,13.514751074300161,3.205079346049189,moving_10_to_43
131.31,1549.966255,1549.883939506611,13.530789813893454,3.21041407174647,moving_10_to_43
131.315,1549.993501,1549.883820841038,13.546855215017626,3.215743949165173,moving_10_to_43
131.32,1549.984686,1549.8837019787115,13.562947253385106,3.221068950600703,moving_10_to_43
131.325,1550.002316,1549.8835829198124,13.579065904523633,3.226389042192146,moving_10_to_43
131.33,1550.011132,1549.8834636645224,13.595211143807028,3.2317041962350856,moving_10_to_43
131.335,1549.918175,1549.8833442130244,13.611382946485984,3.237014391181603,moving_10_to_43
131.34,1549.901348,1549.883224565502,13.627581287718844,3.2423195993271037,moving_10_to_43
131.345,1549.934201,1549.8831047221397,13.643806142479255,3.2476197806541762,moving_10_to_43
131.35,1549.642576,1549.8829846831243,13.660057485525385,3.2529149105368305,moving_10_to_43
131.355,1549.928592,1549.8828644486423,13.676335291584623,3.2582049643485433,moving_10_to_43
131.36,1549.789176,1549.882744018882,13.69263953516887,3.263489911306472,moving_10_to_43
131.365,1549.949426,1549.8826233940324,13.708970190697688,3.2687697237067326,moving_10_to_43
131.37,1549.840452,1549.8825025742838,13.725327232405938,3.274044367688056,moving_10_to_43
131.375,1549.805199,1549.8823815598275,13.741710634374568,3.279313815545848,moving_10_to_43
131.38,1549.966255,1549.882260350856,13.758120370561397,3.2845780395758695,moving_10_to_43
131.385,1549.975871,1549.882138947563,13.774556414770327,3.2898370151515977,moving_10_to_43
131.39,1550.061621,1549.8820173501422,13.791018740712913,3.295090714568971,moving_10_to_43
131.395,1550.027961,1549.8818955587894,13.807507321916017,3.300339103967076,moving_10_to_43
131.4,1549.91497,1549.8817735737014,13.824022131752583,3.3055821556409626,moving_10_to_43
131.405,1549.947022,1549.8816513950756,13.840563143472426,3.3108198418865697,moving_10_to_43
131.41,1549.874104,1549.8815290231107,13.857130330171449,3.316052134999481,moving_10_to_43
131.415,1549.913367,1549.8814064580065,13.873723664822421,3.321279013431422,moving_10_to_43
