segment_id,angle_state_label,cycle_index_within_state,target_frequency_hz,window_start_time_s,window_end_time_s,center_time_s,band_power_nm2,band_rms_nm,local_peak_frequency_hz
43deg_2,stable_43deg,2,38.5,164.7,166.695,165.6975,0.0003434534877452282,0.018532498151766486,39.84375
43deg_2,stable_43deg,2,60.0,164.7,166.695,165.6975,0.000292195338244078,0.017093722188103972,60.15625
43deg_2,stable_43deg,2,38.5,165.2,167.195,166.1975,0.0002499355345981688,0.015809349594406746,39.84375
43deg_2,stable_43deg,2,60.0,165.2,167.195,166.1975,0.0001578948826017437,0.012565623048688978,60.15625
43deg_2,stable_43deg,2,38.5,165.7,167.695,166.6975,0.0003795626489348635,0.019482367641918255,39.84375
43deg_2,stable_43deg,2,60.0,165.7,167.695,166.6975,0.00017591717746868378,0.013263377302507977,60.15625
43deg_2,stable_43deg,2,38.5,166.2,168.195,167.1975,0.0005430709883721166,0.023303883546999554,39.84375
43deg_2,stable_43deg,2,60.0,166.2,168.195,167.1975,0.00039122519162026044,0.019779413328515596,57.8125
43deg_2,stable_43deg,2,38.5,166.7,168.695,167.6975,0.0003813966129444023,0.019529378201683798,39.84375
43deg_2,stable_43deg,2,60.0,166.7,168.695,167.6975,0.00041829909650102116,0.02045236163627617,57.8125
43deg_2,stable_43deg,2,38.5,167.2,169.195,168.1975,0.0004134826690269539,0.02033427326035907,39.84375
43deg_2,stable_43deg,2,60.0,167.2,169.195,168.1975,0.00022489494385045982,0.014996497719483033,57.8125
43deg_2,stable_43deg,2,38.5,167.7,169.695,168.6975,0.0005677289905842537,0.023827064246026066,39.84375
43deg_2,stable_43deg,2,60.0,167.7,169.695,168.6975,0.00010981012931884138,0.010479032842721765,57.8125
43deg_2,stable_43deg,2,38.5,168.2,170.195,169.1975,0.0008221681540089274,0.02867347474599002,39.0625
43deg_2,stable_43deg,2,60.0,168.2,170.195,169.1975,0.00018325806765511334,0.01353728435304191,60.15625
43deg_2,stable_43deg,2,38.5,168.7,170.695,169.6975,0.0005473082195391332,0.023394619457027577,39.84375
43deg_2,stable_43deg,2,60.0,168.7,170.695,169.6975,0.00024407074143540546,0.015622763565880573,57.8125
43deg_2,stable_43deg,2,38.5,169.2,171.195,170.1975,0.00045075448360662343,0.02123097933696473,39.84375
43deg_2,stable_43deg,2,60.0,169.2,171.195,170.1975,0.00038754216331424456,0.019686090605151765,60.15625
43deg_2,stable_43deg,2,38.5,169.7,171.695,170.6975,0.0004449299012255363,0.021093361543991426,39.84375
43deg_2,stable_43deg,2,60.0,169.7,171.695,170.6975,0.0004977261479762029,0.0223097769593558,60.15625
43deg_2,stable_43deg,2,38.5,170.2,172.195,171.1975,0.0003831671242984226,0.01957465515145599,39.84375
43deg_2,stable_43deg,2,60.0,170.2,172.195,171.1975,0.0004406357699099328,0.02099132606363716,60.15625
43deg_2,stable_43deg,2,38.5,170.7,172.695,171.6975,0.0003496650805137196,0.018699333691704623,39.84375
