method,mode,event_id,direction,start_time_s,end_time_s,duration_s,peak_frequency_hz,pre_event_rms_nm,post_event_rms_nm,expected_baseline_rms_nm,event_rms_nm,corrected_response_ratio,excess_percent
AVMD,IMF1,1,10_to_43,31.015,37.76,6.744999999999997,0.008692628650904,0.12311513154494139,0.14164584412055728,0.13270433446567115,0.06180911834267271,0.4657656329881366,-53.42343670118635
AVMD,IMF2,1,10_to_43,31.015,37.76,6.744999999999997,17.793810848400554,0.06062769400315756,0.0670227136560255,0.063905247929877,0.06099907660956683,0.9545237454755031,-4.547625452449688
AVMD,IMF3,1,10_to_43,31.015,37.76,6.744999999999997,39.90785813630041,0.027426181729175568,0.02951578852719715,0.028490149320633498,0.031524112117728216,1.1064916425305438,10.649164253054376
AVMD,IMF4,1,10_to_43,31.015,37.76,6.744999999999997,54.08118915159944,0.015496763231495996,0.01780867335397669,0.01669279061873247,0.016887352688317245,1.0116554549822507,1.1655454982250735
AVMD,IMF5,1,10_to_43,31.015,37.76,6.744999999999997,59.97479137691238,0.015553157088050915,0.019736568690747705,0.01776841072085783,0.014008686749175145,0.7884040373251135,-21.159596267488645
AVMD,IMF6,1,10_to_43,31.015,37.76,6.744999999999997,80.04607093184978,0.039502576846684505,0.04590612623243886,0.04282421046088781,0.04975731964744184,1.1618969529604328,16.189695296043283
AVMD,IMF7,1,10_to_43,31.015,37.76,6.744999999999997,90.29468011126563,0.027501458245223532,0.016921551680666027,0.02283275188074386,0.021436444674602238,0.9388463023014231,-6.1153697698576925
AVMD,IMF1,2,43_to_10,87.79,94.25,6.459999999999994,0.008692628650904,0.14268717580690873,0.11265861054123004,0.12855269866640728,0.07098997948680519,0.552224731361131,-44.7775268638869
AVMD,IMF2,2,43_to_10,87.79,94.25,6.459999999999994,17.793810848400554,0.06344091660334628,0.054569199715297265,0.05917156182255432,0.050885017471296375,0.8599573157100717,-14.004268428992827
AVMD,IMF3,2,43_to_10,87.79,94.25,6.459999999999994,39.90785813630041,0.03781126739311547,0.028796783765051463,0.03360763824701766,0.03343425654091433,0.9948410029639999,-0.515899703600009
AVMD,IMF4,2,43_to_10,87.79,94.25,6.459999999999994,54.08118915159944,0.020591171761158062,0.01958696501027183,0.0200953421569667,0.01778838450463719,0.8851993842996235,-11.480061570037648
AVMD,IMF5,2,43_to_10,87.79,94.25,6.459999999999994,59.97479137691238,0.017813061697461604,0.014260150546952037,0.016134699573579145,0.013415323570075802,0.8314579090176325,-16.85420909823675
