time,CH1
37:46.589,1549.925387
37:46.589,1549.925387
37:46.590,1549.926989
37:46.590,1549.926188
37:46.592,1549.927791
37:46.597,1549.926989
37:46.602,1549.927791
37:46.608,1549.926188
37:46.612,1549.926188
37:46.622,1549.926188
37:46.637,1549.926989
37:46.637,1549.927791
37:46.637,1549.927791
37:46.638,1549.926989
37:46.642,1549.926188
37:46.647,1549.926188
37:46.652,1549.926989
37:46.657,1549.926989
37:46.662,1549.926989
37:46.682,1549.925387
37:46.682,1549.926989
37:46.682,1549.927791
37:46.682,1549.926989
37:46.687,1549.926989
37:46.693,1549.926188
37:46.698,1549.926989
37:46.703,1549.926188
37:46.712,1549.926989
37:46.725,1549.926989
37:46.725,1549.927791
37:46.726,1549.927791
37:46.728,1549.926989
37:46.733,1549.925387
37:46.737,1549.926188
37:46.743,1549.927791
37:46.748,1549.926989
37:46.757,1549.926188
37:46.771,1549.926989
37:46.771,1549.926989
37:46.772,1549.926989
37:46.773,1549.925387
37:46.777,1549.926989
37:46.782,1549.926188
37:46.787,1549.927791
37:46.792,1549.926989
37:46.803,1549.927791
37:46.816,1549.927791
37:46.816,1549.926188
37:46.816,1549.927791
37:46.817,1549.926188
37:46.822,1549.926188
37:46.828,1549.926188
37:46.833,1549.927791
37:46.838,1549.927791
37:46.848,1549.926989
37:46.861,1549.925387
37:46.861,1549.925387
37:46.861,1549.926188
37:46.863,1549.926188
37:46.868,1549.926989
37:46.873,1549.926989
37:46.878,1549.926188
37:46.883,1549.926188
37:46.893,1549.926188
37:46.905,1549.925387
37:46.906,1549.926188
37:46.906,1549.928592
37:46.908,1549.928592
37:46.913,1549.926989
37:46.918,1549.927791
37:46.923,1549.926188
37:46.927,1549.926188
37:46.938,1549.926188
37:46.951,1549.927791
37:46.951,1549.926188
37:46.952,1549.925387
37:46.952,1549.925387
37:46.958,1549.926989
37:46.963,1549.926989
37:46.968,1549.926188
37:46.972,1549.926188
37:46.994,1549.926989
37:46.995,1549.926989
37:46.995,1549.926989
37:46.995,1549.926989
37:46.998,1549.926188
37:47.002,1549.926989
37:47.008,1549.926989
37:47.013,1549.926188
37:47.017,1549.925387
37:47.041,1549.926989
37:47.042,1549.928592
37:47.042,1549.926989
37:47.042,1549.926989
37:47.043,1549.926188
37:47.047,1549.926188
37:47.052,1549.926188
37:47.058,1549.926989
37:47.063,1549.926188
37:47.072,1549.926989
37:47.086,1549.927791
37:47.086,1549.926989
37:47.086,1549.926989
37:47.087,1549.926989
37:47.093,1549.926989
37:47.097,1549.926989
37:47.103,1549.926188
37:47.108,1549.926188
37:47.117,1549.926989
37:47.131,1549.926989
37:47.131,1549.926188
37:47.132,1549.926989
37:47.133,1549.924585
37:47.138,1549.926188
37:47.142,1549.926188
37:47.148,1549.928592
37:47.153,1549.928592
