time,CH1
26:33.085,1549.963851
26:33.085,1549.740306
26:33.085,1549.888527
26:33.086,1549.836446
26:33.089,1549.882918
26:33.094,1549.976672
26:33.098,1549.928592
26:33.103,1550.073643
26:33.108,1549.909361
26:33.142,1549.979878
26:33.147,1549.996707
26:33.149,1549.948625
26:33.149,1550.012734
26:33.150,1549.835645
26:33.150,1549.901348
26:33.152,1549.769948
26:33.152,1549.779562
26:33.154,1549.850067
26:33.160,1549.866893
26:33.163,1549.829235
26:33.168,1549.889329
26:33.205,1549.914168
26:33.209,1550.084062
26:33.209,1549.878111
26:33.210,1549.937406
26:33.210,1550.009529
26:33.211,1549.756329
26:33.213,1549.822024
26:33.214,1549.618545
26:33.214,1549.894136
26:33.219,1549.825229
26:33.223,1549.852471
26:33.229,1549.986289
26:33.233,1549.895739
26:33.263,1550.012734
26:33.269,1549.968659
26:33.271,1549.952632
26:33.271,1549.728289
26:33.272,1549.710665
26:33.272,1549.749118
26:33.272,1549.943817
26:33.273,1549.777158
26:33.278,1549.906155
26:33.284,1549.822024
26:33.289,1549.983083
26:33.294,1550.051203
26:33.323,1549.886925
26:33.331,1550.005522
26:33.333,1549.713068
26:33.333,1550.003118
26:33.334,1549.886925
26:33.334,1549.943016
26:33.335,1549.866893
26:33.335,1549.801995
26:33.339,1549.900546
26:33.344,1549.958241
26:33.349,1549.983885
26:33.353,1549.948625
26:33.384,1549.898944
26:33.389,1549.924585
26:33.389,1550.124939
26:33.390,1549.939009
26:33.390,1550.192269
26:33.391,1550.192269
26:33.391,1549.991097
26:33.394,1549.963049
26:33.398,1549.829235
26:33.404,1549.911764
26:33.409,1549.728289
26:33.413,1549.907758
26:33.444,1549.882918
26:33.445,1550.049600
26:33.451,1550.108107
26:33.452,1550.102497
26:33.453,1549.983083
26:33.453,1550.020748
26:33.453,1549.903752
26:33.455,1549.913367
26:33.459,1549.789977
